race_id	0	1	2	3
202301010412	ワイド	9 - 12 6 - 12 6 - 9	720 1,250 1,070	5 19 12
202301010412	馬単	12 → 9	3140	7
202301010412	三連複	6 - 9 - 12	7340	22
202301010412	三連単	12 → 9 → 6	30970	86
202301010501	単勝	11	460	2
202301010501	複勝	11 9 10	160 110 970	2 1 11
202301010501	枠連	6 - 7	490	2
202301010501	馬連	9 - 11	500	1
202301010501	ワイド	9 - 11 10 - 11 9 - 10	250 3,830 1,760	1 36 20
202301010501	馬単	11 → 9	1470	5
202301010501	三連複	9 - 10 - 11	8110	22
202301010501	三連単	11 → 9 → 10	38300	111
202301010502	単勝	4	810	3
202301010502	複勝	4 5 7	400 320 230	6 5 2
202301010502	枠連	4 - 5	3900	11
202301010502	馬連	4 - 5	4910	17
202301010502	ワイド	4 - 5 4 - 7 5 - 7	1,630 970 990	20 10 12
202301010502	馬単	4 → 5	9680	32
202301010502	三連複	4 - 5 - 7	11500	37
202301010502	三連単	4 → 5 → 7	62850	191
202301010503	単勝	10	890	3
202301010503	複勝	10 2 13	240 410 1,070	2 7 12
202301010503	枠連	1 - 5	840	2
202301010503	馬連	2 - 10	5170	16
202301010503	ワイド	2 - 10 10 - 13 2 - 13	1,630 3,770 5,280	18 47 57
202301010503	馬単	10 → 2	10140	33
202301010503	三連複	2 - 10 - 13	53440	165
202301010503	三連単	10 → 2 → 13	220170	659
202301010504	単勝	5	390	2
202301010504	複勝	5 7 8	160 130 3,620	3 1 14
202301010504	枠連	4 - 5	420	1
202301010504	馬連	5 - 7	470	2
202301010504	ワイド	5 - 7 5 - 8 7 - 8	260 13,350 8,210	2 57 47
202301010504	馬単	5 → 7	990	3
202301010504	三連複	5 - 7 - 8	38380	77
202301010504	三連単	5 → 7 → 8	123410	285
202301010505	単勝	6	820	4
202301010505	複勝	6 4 7	200 220 140	4 5 1
202301010505	枠連	4 - 6	2130	9
202301010505	馬連	4 - 6	2250	9
202301010505	ワイド	4 - 6 6 - 7 4 - 7	720 450 480	9 4 7
202301010505	馬単	6 → 4	4780	19
202301010505	三連複	4 - 6 - 7	2480	9
202301010505	三連単	6 → 4 → 7	19650	66
202301010506	単勝	15	250	1
202301010506	複勝	15 14 1	150 270 530	1 5 7
202301010506	枠連	7 - 8	1170	4
202301010506	馬連	14 - 15	1080	4
202301010506	ワイド	14 - 15 1 - 15 1 - 14	530 1,440 3,370	4 15 39
202301010506	馬単	15 → 14	1740	3
202301010506	三連複	1 - 14 - 15	7910	24
202301010506	三連単	15 → 14 → 1	21380	47
202301010507	単勝	6	390	1
202301010507	複勝	6 10 3	160 380 370	1 8 7
202301010507	枠連	5 - 7	1320	7
202301010507	馬連	6 - 10	2490	9
202301010507	ワイド	6 - 10 3 - 6 3 - 10	980 1,130 2,540	10 17 31
202301010507	馬単	6 → 10	4170	13
202301010507	三連複	3 - 6 - 10	9170	35
202301010507	三連単	6 → 10 → 3	36520	129
202301010508	単勝	10	320	2
202301010508	複勝	10 2 13	120 140 120	2 3 1
202301010508	枠連	2 - 7	1020	3
202301010508	馬連	2 - 10	950	3
202301010508	ワイド	2 - 10 10 - 13 2 - 13	340 250 300	3 1 2
202301010508	馬単	10 → 2	1630	4
202301010508	三連複	2 - 10 - 13	820	1
202301010508	三連単	10 → 2 → 13	4960	5
202301010509	単勝	3	390	2
202301010509	複勝	3 1 6	150 320 170	2 6 3
202301010509	枠連	1 - 3	2580	10
202301010509	馬連	1 - 3	2610	11
202301010509	ワイド	1 - 3 3 - 6 1 - 6	640 380 1,190	10 3 16
202301010509	馬単	3 → 1	4760	19
202301010509	三連複	1 - 3 - 6	4090	16
202301010509	三連単	3 → 1 → 6	22130	78
202301010510	単勝	12	330	1
202301010510	複勝	12 7 10	170 650 880	1 8 12
202301010510	枠連	5 - 7	2910	12
202301010510	馬連	7 - 12	6050	19
202301010510	ワイド	7 - 12 10 - 12 7 - 10	2,000 1,890 10,370	20 18 67
202301010510	馬単	12 → 7	8280	28
202301010510	三連複	7 - 10 - 12	51310	124
202301010510	三連単	12 → 7 → 10	154620	436
202301010511	単勝	6	230	1
202301010511	複勝	6 14 7	120 210 320	1 3 6
202301010511	枠連	4 - 8	670	2
202301010511	馬連	6 - 14	870	3
